"","feature","pcr_imp","comp_imp","pcr_rank","comp_rank"
"1","cites",0.278077,0.327827,1,1
"2","ed_equal",0.03826,0.043795,7,6
"3","gen_Abrothrix",0,1e-06,43,35
"4","gen_Akodon",7.8e-05,0,33,36
"5","gen_Brucepattersonius",0,0,44,37
"6","gen_Calomys",0.001994,0.003522,31,25
"7","gen_Cerradomys",1e-06,0,42,38
"8","gen_Delomys",0,0,45,39
"9","gen_Dicrostonyx",0,0,46,40
"10","gen_Eligmodontia",0,0,47,41
"11","gen_Euneomys",0,0,48,42
"12","gen_Euryoryzomys",0,0,49,43
"13","gen_Graomys",0,0,50,44
"14","gen_Habromys",0,0,51,45
"15","gen_Handleyomys",2e-06,0,40,46
"16","gen_Holochilus",0,0,52,47
"17","gen_Hylaeamys",0,0,53,48
"18","gen_Ichthyomys",0,0,54,49
"19","gen_Microtus",1.1e-05,7e-05,39,31
"20","gen_Neacomys",0,0,55,50
"21","gen_Necromys",6.1e-05,0,34,51
"22","gen_Nectomys",2.2e-05,0,38,52
"23","gen_Neotoma",4.1e-05,0,36,53
"24","gen_Nephelomys",0,0,56,54
"25","gen_Nesoryzomys",0,0,57,55
"26","gen_Neusticomys",0,0,58,56
"27","gen_Oecomys",3.4e-05,9e-06,37,33
"28","gen_Oligoryzomys",0.020933,0.039648,11,7
"29","gen_Oryzomys",5.7e-05,0.018844,35,12
"30","gen_Oxymycterus",0.004808,0,28,57
"31","gen_Peromyscus",0.046181,4.8e-05,6,32
"32","gen_Phyllotis",0,0,59,58
"33","gen_Reithrodontomys",0.000346,4e-06,32,34
"34","gen_Rheomys",0,0,60,59
"35","gen_Rhipidomys",2e-06,0,41,60
"36","gen_Sigmodon",0.003557,0.008582,30,20
"37","gen_Thomasomys",0,0,61,61
"38","gen_Tylomys",0,0,62,62
"39","MammRich",0.118834,0.106112,2,3
"40","SpeciesDensity",0.069432,0.033677,3,8
"41","X1.1_ActivityCycle",0.013002,0.001959,18,30
"42","X12.1_HabitatBreadth",0.006411,0.002541,26,26
"43","X12.2_Terrestriality",0.009089,0.008102,25,21
"44","X15.1_LitterSize",0.050554,0.12542,5,2
"45","X26.1_GR_Area_km2",0.032032,0.050139,10,5
"46","X26.2_GR_MaxLat_dd",0.01153,0.008771,20,19
"47","X26.3_GR_MinLat_dd",0.036881,0.026298,8,9
"48","X26.4_GR_MidRangeLat_dd",0.010136,0.002488,23,27
"49","X26.5_GR_MaxLong_dd",0.017761,0.021453,14,11
"50","X26.6_GR_MinLong_dd",0.019278,0.011508,13,16
"51","X26.7_GR_MidRangeLong_dd",0.010376,0.005481,22,23
"52","X27.1_HuPopDen_Min_n.km2",0.004422,0.002338,29,28
"53","X27.2_HuPopDen_Mean_n.km2",0.053855,0.018047,4,13
"54","X27.3_HuPopDen_5p_n.km2",0.005667,0.002036,27,29
"55","X27.4_HuPopDen_Change",0.015346,0.010835,17,17
"56","X28.1_Precip_Mean_mm",0.016725,0.050312,15,4
"57","X28.2_Temp_Mean_01degC",0.011422,0.013331,21,15
"58","X30.1_AET_Mean_mm",0.011915,0.008933,19,18
"59","X30.2_PET_Mean_mm",0.016506,0.006142,16,22
"60","X5.1_AdultBodyMass_g",0.033911,0.022614,9,10
"61","X6.1_DietBreadth",0.020883,0.014652,12,14
"62","X6.2_TrophicLevel",0.009576,0.004446,24,24
