"","tip","IUCNname","intree","intraits"
"25","Akodon_caenosus","","missing","missing"
"279","Neotoma_insularis","","missing","missing"
"349","Oligoryzomys_utiaritensis","","missing","missing"
"506","Rhipidomys_albujai","","missing","missing"
"562","Thomasomys_auricularis","","missing","missing"
"563","Thomasomys_australis","","missing","missing"
"570","Thomasomys_contradictus","","missing","missing"
"572","Thomasomys_dispar","","missing","missing"
"574","Thomasomys_emeritus","","missing","missing"
"576","Thomasomys_fumeus","","missing","missing"
"587","Thomasomys_nicefori","","missing","missing"
"595","Thomasomys_princeps","","missing","missing"
"65","Andalgalomys_roigi","synonym for A. olrogi","missing","traits"
"357","Oryzomys_alfaroi","","missing","traits"
"359","Oryzomys_chapmani","","missing","traits"
"366","Oryzomys_rhabdops","","missing","traits"
"367","Oryzomys_rostratus","","missing","traits"
"368","Oryzomys_saturatior","","missing","traits"
"549","Sigmodon_zanjonensis","","missing","traits"
"1","Abrawayaomys_chebezi","","upham","missing"
"9","Abrothrix_manni","","upham","missing"
"13","Aegialomys_galapagoensis","used to be Oryzomys galapagoensis","upham","missing"
"14","Aegialomys_xanthaeolus","used to be O. xanthaeolus","upham","missing"
"31","Akodon_josemariarguedasi","","upham","missing"
"48","Akodon_philipmyersi","","upham","missing"
"49","Akodon_polopi","","upham","missing"
"88","Calassomys_apicalis","","upham","missing"
"92","Calomys_cerqueirai","","upham","missing"
"94","Calomys_fecundus","","upham","missing"
"103","Cerradomys_akroai","","upham","missing"
"104","Cerradomys_goytaca","","upham","missing"
"105","Cerradomys_langguthi","","upham","missing"
"106","Cerradomys_maracajuensis","","upham","missing"
"107","Cerradomys_marinhus","","upham","missing"
"108","Cerradomys_scotti","","upham","missing"
"109","Cerradomys_subflavus","","upham","missing"
"110","Cerradomys_vivoi","","upham","missing"
"118","Delomys_altimontanus","","upham","missing"
"129","Drymoreomys_albimaculatus","","upham","missing"
"130","Eligmodontia_bolsonensis","","upham","missing"
"131","Eligmodontia_dunaris","","upham","missing"
"132","Eligmodontia_hirtipes","","upham","missing"
"137","Eremoryzomys_polius","used to be Oryzomys polius","upham","missing"
"142","Euryoryzomys_emmonsae","used to by Oryzomys emmonsae","upham","missing"
"143","Euryoryzomys_lamia","used to be O. lamia","upham","missing"
"144","Euryoryzomys_legatus","used to be O. legatus","upham","missing"
"145","Euryoryzomys_macconnelli","used to be O. macconnelli","upham","missing"
"146","Euryoryzomys_nitidus","used to be O. nitidus","upham","missing"
"147","Euryoryzomys_russatus","used to be O. russatus","upham","missing"
"159","Habromys_schmidlyi","","upham","missing"
"161","Handleyomys_alfaroi","changed to Oryzomys alfaroi","upham","missing"
"162","Handleyomys_chapmani","changed to Oryzomys alfaroi","upham","missing"
"164","Handleyomys_guerrerensis","aka Oryzomys guerrerensis/chapmani","upham","missing"
"166","Handleyomys_melanotis","aka Oryzomys melanotis","upham","missing"
"167","Handleyomys_rhabdops","aka Oryzomys rhabdops","upham","missing"
"168","Handleyomys_rostratus","aka Oryzomys rostratus","upham","missing"
"169","Handleyomys_saturatior","aka Oryzomys saturatior","upham","missing"
"173","Holochilus_lagigliai","","upham","missing"
"175","Hylaeamys_acritus","used to be O. acritus","upham","missing"
"176","Hylaeamys_laticeps","used to be Oryzomys laticeps","upham","missing"
"177","Hylaeamys_megacephalus","used to be O. megacephalus","upham","missing"
"178","Hylaeamys_oniscus","used to be O. oniscus","upham","missing"
"179","Hylaeamys_perenensis","used to be O. perenensis","upham","missing"
"180","Hylaeamys_tatei","used to be O. tatei","upham","missing"
"181","Hylaeamys_yunganus","used to be O. yunganus","upham","missing"
"189","Juliomys_ossitenuis","","upham","missing"
"238","Mindomys_hammondi","used to be Oryzomys hammondi","upham","missing"
"293","Nephelomys_albigularis","used to be Oryzomys albigularis","upham","missing"
"294","Nephelomys_auriventer","used to be O. auriventer","upham","missing"
"295","Nephelomys_caracolus","used to be O. caracolus","upham","missing"
"296","Nephelomys_devius","used to be O. devius","upham","missing"
"297","Nephelomys_keaysi","used to be O. keaysi","upham","missing"
"298","Nephelomys_levipes","used to be O. levipes","upham","missing"
"299","Nephelomys_meridensis","used to be O. meridensis","upham","missing"
"303","Nesoryzomys_narboroughi","","upham","missing"
"305","Neusticomys_ferreirai","","upham","missing"
"329","Oecomys_sydandersoni","","upham","missing"
"345","Oligoryzomys_moojeni","","upham","missing"
"347","Oligoryzomys_rupestris","","upham","missing"
"356","Oreoryzomys_balneator","used to be Oryzomys balneator","upham","missing"
"358","Oryzomys_antillarum","","upham","missing"
"388","Oxymycterus_wayku","","upham","missing"
"391","Pennatomys_nivalis","","upham","missing"
"399","Peromyscus_carletoni","","upham","missing"
"439","Peromyscus_schmidlyi","","upham","missing"
"453","Phyllotis_alisosiensis","","upham","missing"
"456","Phyllotis_anitae","","upham","missing"
"478","Reithrodontomys_bakeri","","upham","missing"
"492","Reithrodontomys_musseri","","upham","missing"
"508","Rhipidomys_cariri","","upham","missing"
"514","Rhipidomys_ipukensis","","upham","missing"
"515","Rhipidomys_itoan","","upham","missing"
"524","Rhipidomys_tribei","","upham","missing"
"530","Scapteromys_meridionalis","","upham","missing"
"552","Sooretamys_angouya","used to be Oryzomys angouya","upham","missing"
"559","Thomasomys_andersoni","","upham","missing"
"604","Transandinomys_bolivaris","used to be Oryzomys bolivaris","upham","missing"
"605","Transandinomys_talamancae","used to be O. talamancae","upham","missing"
"613","Wiedomys_cerradensis","","upham","missing"
